SUSCEPTIBLE, EXPOSED, ASYMPTOMATIC, PREINFECTED, INFECTED, HOSPITALIZING, VENTILATING, RECOVERED, DEAD
625320, 0, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625316, 4, 476, 164, 0, 0, 0, 0, 0
625312, 8, 476, 164, 0, 0, 0, 0, 0
625312, 8, 476, 164, 0, 0, 0, 0, 0
625312, 8, 476, 164, 0, 0, 0, 0, 0
625312, 8, 476, 164, 0, 0, 0, 0, 0
625312, 8, 476, 164, 0, 0, 0, 0, 0
625312, 8, 476, 164, 0, 0, 0, 0, 0
625312, 8, 476, 164, 0, 0, 0, 0, 0
